year mon day hour minute sec lat lot dep mag
2022 4 7 14 43 59.9 29.310539 107.953809 4.39 1.26
2022 4 7 15 0 17.41 29.323265 107.960449 3.78 0.84
2022 4 7 17 23 9.91 29.324343 107.935425 3.16 0.89
2022 4 7 18 49 53.47 29.374127 107.902417 1.66 0.54
2022 4 7 21 56 4.41 29.33517 107.979924 3.54 0.33
2022 4 7 21 57 34.12 29.317082 107.90909 3.06 0.53
2022 4 7 23 56 8.77 29.355385 108.03374 2.02 0.46
2022 4 8 0 32 18.24 29.304976 107.884749 1.89 0.45
2022 4 8 1 40 44.92 29.326591 107.958285 2.46 0.24
2022 4 8 2 19 48.98 29.289809 107.902922 4.1 0.22
2022 4 8 3 4 25.3 29.308842 107.868783 2.11 0.41
2022 4 8 6 10 25.0 29.312885 107.912891 3.81 0.43
2022 4 8 9 48 16.7 29.323136 107.961206 4.09 0.21
2022 4 8 10 53 37.28 29.321505 107.933512 2.84 -0.38
2022 4 8 11 20 10.16 29.319019 107.936027 3.61 -0.56
2022 4 8 11 47 52.8 29.306616 107.979435 2.79 0.67
2022 4 8 14 27 30.62 29.312622 107.969116 3.35 0.78
2022 4 8 15 50 56.27 29.318827 107.950928 2.63 0.82
2022 4 8 16 19 20.57 29.335974 107.972127 2.28 0.35
2022 4 8 17 1 54.3 29.360158 108.03116 1.86 0.7
2022 4 8 17 21 1.13 29.315285 107.920207 1.93 0.26
2022 4 8 18 20 36.52 29.313849 107.920353 2.99 0.6
2022 4 8 18 26 53.69 29.317 107.920272 1.88 0.53
2022 4 8 18 42 0.87 29.323364 107.947078 3.52 0.27
2022 4 8 19 3 8.34 29.320162 107.952816 2.97 0.42
2022 4 8 19 4 9.26 29.310828 107.911076 1.34 0.8
2022 4 8 22 22 49.89 29.281429 108.048267 1.44 1.06
2022 4 8 23 9 33.36 29.283687 108.044751 2.12 1.0
2022 4 8 23 24 7.95 29.361387 108.031087 1.2 0.56
2022 4 8 23 48 54.19 29.330872 107.962793 2.98 1.01
2022 4 9 0 23 6.02 29.303518 107.865291 3.08 0.43
2022 4 9 0 55 55.28 29.37691 107.907503 1.46 0.43
2022 4 9 1 38 59.88 29.297906 107.897249 4.35 0.32
2022 4 9 1 52 4.66 29.314952 107.917228 2.58 0.11
2022 4 9 1 53 54.88 29.314807 107.970142 2.55 0.56
2022 4 9 2 6 59.16 29.337575 107.974528 1.97 0.43
2022 4 9 4 6 5.96 29.289825 107.843628 4.82 0.6
2022 4 9 4 38 7.86 29.292086 107.854435 5.22 0.33
2022 4 9 5 23 56.36 29.317216 107.930575 3.92 0.55
2022 4 9 6 9 0.68 29.277421 107.842708 5.26 0.48
2022 4 9 7 8 8.04 29.314823 107.920109 3.38 -0.16
2022 4 9 8 21 20.4 29.315812 107.970996 2.17 -0.49
2022 4 9 8 35 25.23 29.33752 107.973739 1.79 -0.53
2022 4 9 9 34 22.99 29.317128 107.967944 2.79 0.48
2022 4 9 9 41 30.56 29.321149 108.130868 2.17 -0.03
2022 4 9 9 48 9.94 29.318966 107.920207 0.79 -0.03
2022 4 9 9 57 51.18 29.311646 107.971216 1.91 0.3
2022 4 9 10 25 18.54 29.305811 107.865316 4.87 0.51
2022 4 9 10 37 54.24 29.312502 107.926636 1.86 0.38
2022 4 9 11 13 37.33 29.306651 107.905355 2.06 0.37
2022 4 9 11 40 26.03 29.336725 108.105729 2.3 0.71
2022 4 9 11 44 41.99 29.33987 108.108081 2.55 0.05
2022 4 9 11 55 15.93 29.34408 108.12299 2.89 0.12
2022 4 9 12 3 2.94 29.350804 108.076261 2.43 0.7
2022 4 9 12 3 13.69 29.268573 108.087345 4.19 1.4
2022 4 9 12 15 1.73 29.26071 108.09375 4.83 -0.1
2022 4 9 12 25 17.4 29.25861 108.09314 5.45 -0.42
2022 4 9 12 42 50.87 29.27546 107.834342 5.71 0.21
2022 4 9 14 17 21.38 29.291026 107.844751 4.67 1.06
2022 4 9 14 58 58.29 29.331984 107.956478 1.89 0.05
2022 4 9 15 1 20.21 29.313068 107.91792 2.62 0.61
2022 4 9 16 0 45.98 29.358067 108.01119 2.32 -0.27
2022 4 9 16 11 5.05 29.356763 108.000049 4.79 -0.58
2022 4 9 16 22 56.19 29.310846 107.920654 2.78 -0.51
2022 4 9 16 41 7.16 29.319008 107.950977 2.83 -0.48
2022 4 9 18 9 14.59 29.33724 107.97369 1.97 -0.64
2022 4 9 18 28 40.15 29.348328 108.073592 1.44 0.65
2022 4 9 19 19 15.8 29.28185 107.842627 4.81 -0.2
2022 4 9 19 37 55.13 29.399451 107.942399 4.8 -0.48
2022 4 9 19 38 7.47 29.391005 107.943888 3.62 -0.55
2022 4 9 19 52 29.11 29.359692 108.017643 3.25 -0.45
2022 4 9 20 24 46.26 29.283657 108.041504 2.79 -0.55
2022 4 9 21 45 41.35 29.31884 107.950773 2.97 -0.49
2022 4 9 21 49 51.77 29.311692 107.875643 3.73 -0.49
2022 4 9 21 52 58.06 29.344472 108.086816 1.7 0.56
2022 4 10 0 29 9.96 29.330223 107.958846 1.48 0.4
2022 4 10 0 39 34.7 29.346757 108.076986 1.87 0.2
2022 4 10 0 45 30.63 29.312174 107.918392 2.87 0.1
2022 4 10 1 19 44.76 29.34802 108.074455 1.22 -0.43
2022 4 10 1 44 51.12 29.336841 107.974357 2.42 -0.54
2022 4 10 2 28 42.44 29.35213 107.990682 2.46 -0.61
2022 4 10 2 35 38.68 29.295748 107.881632 3.45 0.04
2022 4 10 3 20 23.88 29.334701 108.159375 3.7 0.34
2022 4 10 4 3 26.12 29.372664 107.87867 3.51 -0.42
2022 4 10 4 5 58.84 29.316091 107.970329 2.58 0.3
2022 4 10 4 59 57.24 29.333368 108.144198 1.96 -0.48
2022 4 10 5 4 42.76 29.290253 107.879761 4.2 0.54
2022 4 10 5 9 27.72 29.399032 107.939738 1.4 -0.41
2022 4 10 5 9 42.12 29.316803 107.968245 2.79 0.44
2022 4 10 5 43 13.48 29.322233 107.931453 3.69 0.24
2022 4 10 6 23 25.84 29.322758 107.931323 2.86 -0.6
2022 4 10 7 51 29.4 29.348279 108.074072 1.34 -0.54
2022 4 10 8 26 5.48 29.301754 107.905461 3.05 -0.43
2022 4 10 9 45 32.25 29.282591 107.843595 5.47 0.54
2022 4 10 9 46 10.86 29.344578 108.086922 1.65 -0.5
2022 4 10 10 0 16.21 29.317478 107.917383 3.11 -0.56
2022 4 10 10 59 55.58 29.32111 107.947306 3.22 -0.51
2022 4 10 11 49 27.92 29.292273 107.845907 4.66 0.8
2022 4 10 12 5 34.84 29.269698 108.09091 4.82 -0.32
2022 4 10 12 7 35.46 29.3012 107.863102 4.59 -0.45
2022 4 10 12 19 11.19 29.314235 107.916951 2.5 0.52
2022 4 10 12 29 31.85 29.285026 108.042586 2.35 0.52
2022 4 10 12 43 38.68 29.278178 107.837956 5.47 0.56
2022 4 10 12 59 41.39 29.273863 107.776538 7.44 1.3
2022 4 10 15 49 49.35 29.346857 108.077002 1.23 0.79
2022 4 10 16 1 37.77 29.348171 108.074333 1.44 0.67
2022 4 10 16 14 51.62 29.25851 108.091455 5.61 0.54
2022 4 10 16 18 36.41 29.351152 107.991007 4.95 0.42
2022 4 10 17 14 51.04 29.361407 108.017643 2.35 0.66
2022 4 10 17 20 9.92 29.36111 108.015967 2.89 0.5
2022 4 10 17 47 12.8 29.299148 107.902743 3.46 0.33
2022 4 10 18 51 22.04 29.318683 107.950887 3.0 0.74
2022 4 10 20 21 59.97 29.31649 107.970492 2.49 0.5
2022 4 10 20 22 28.74 29.29126 107.881079 4.38 0.76
2022 4 10 21 18 23.08 29.299036 107.861393 4.78 0.32
2022 4 10 22 37 34.06 29.316742 107.968262 2.78 0.49
2022 4 10 23 0 33.82 29.290898 107.844271 4.79 0.71
2022 4 10 23 11 44.73 29.319383 107.950814 2.77 0.54
2022 4 10 23 18 24.68 29.344938 108.086637 1.69 0.75
2022 4 11 0 4 33.65 29.348096 108.074528 1.24 0.64
2022 4 11 0 19 56.12 29.284285 108.041089 2.4 1.38
2022 4 11 1 31 4.94 29.288411 108.041691 1.3 1.55
2022 4 11 1 58 36.44 29.311957 107.917391 3.02 0.64
2022 4 11 4 31 8.48 29.361686 108.016089 3.48 0.09
2022 4 11 5 7 28.94 29.317975 107.931136 3.58 0.57
2022 4 11 5 14 46.22 29.361422 108.017529 2.28 0.49
2022 4 11 5 42 19.76 29.314752 107.877482 3.41 0.57
2022 4 11 7 20 23.92 29.311458 107.917489 3.21 0.05
2022 4 11 7 39 17.6 29.316374 107.916789 3.37 0.66
2022 4 11 8 15 14.67 29.322732 108.166927 4.12 0.41
2022 4 11 8 19 31.01 29.292824 107.883154 4.28 0.44
2022 4 11 9 23 28.98 29.369836 107.920988 6.82 0.27
2022 4 11 9 23 32.45 29.358573 107.923193 9.57 0.38
2022 4 11 9 25 50.46 29.407707 107.907178 7.44 0.43
2022 4 11 9 30 0.19 29.366862 107.924731 8.57 0.25
2022 4 11 9 33 25.38 29.367686 107.922965 7.0 0.34
2022 4 11 9 34 45.28 29.370064 107.927303 7.88 0.49
2022 4 11 9 35 32.81 29.365184 107.918123 6.26 0.27
2022 4 11 9 41 46.45 29.366423 107.924731 4.44 0.08
2022 4 11 9 50 48.79 29.35696 107.925651 5.27 0.36
2022 4 11 9 50 53.89 29.363993 107.921606 6.19 0.74
2022 4 11 10 9 40.77 29.354936 107.909701 7.35 0.41
2022 4 11 10 13 51.02 29.329248 107.934668 3.85 0.56
2022 4 11 10 16 35.65 29.355322 107.925537 4.8 0.46
2022 4 11 10 28 42.67 29.364148 107.916772 6.9 0.46
2022 4 11 10 36 45.55 29.397148 107.902995 8.43 0.53
2022 4 11 11 8 24.83 29.348674 108.074097 1.82 0.54
2022 4 11 11 40 32.28 29.368532 107.928263 7.42 1.0
2022 4 11 11 40 59.9 29.363247 107.914453 6.55 0.43
2022 4 11 11 45 25.48 29.359796 107.920304 6.48 0.64
2022 4 11 11 49 41.95 29.362876 107.924927 5.12 0.53
2022 4 11 11 50 49.12 29.364496 107.916862 7.13 0.2
2022 4 11 11 54 1.51 29.364111 107.922347 7.14 0.56
2022 4 11 11 54 22.38 29.366882 107.922746 6.89 0.22
2022 4 11 11 54 56.71 29.363393 107.921468 7.43 1.08
2022 4 11 12 0 30.65 29.391437 107.930387 9.73 0.09
2022 4 11 12 1 1.73 29.370813 107.924658 8.97 0.68
2022 4 11 12 11 0.32 29.366795 107.924756 8.13 0.69
2022 4 11 12 11 48.3 29.360913 107.924154 7.46 0.28
2022 4 11 12 12 1.69 29.363029 107.92203 7.21 0.23
2022 4 11 12 19 29.76 29.3758 107.925464 5.49 0.16
2022 4 11 12 21 56.86 29.297091 107.916081 2.92 -0.05
2022 4 11 12 30 13.13 29.361086 107.920329 6.89 0.16
2022 4 11 12 32 42.11 29.37701 107.914461 7.79 0.3
2022 4 11 12 35 24.29 29.264284 108.084709 3.99 -0.41
2022 4 11 12 37 37.41 29.365633 107.918913 5.44 0.08
2022 4 11 12 40 53.28 29.363346 107.917839 7.49 0.28
2022 4 11 13 6 37.11 29.362258 107.92465 6.55 0.53
2022 4 11 13 7 14.66 29.362402 107.922786 4.63 -0.24
2022 4 11 13 19 49.56 29.370103 107.921411 8.33 0.45
2022 4 11 13 20 48.67 29.357288 108.000854 4.74 0.25
2022 4 11 13 25 29.35 29.363796 107.922087 7.1 0.7
2022 4 11 13 26 23.88 29.364518 107.914209 5.5 0.61
2022 4 11 13 55 4.72 29.31698 107.970833 2.33 0.15
2022 4 11 13 55 37.05 29.337252 108.10564 2.34 0.89
2022 4 11 13 58 19.67 29.33717 108.105298 2.34 0.8
2022 4 11 14 5 49.01 29.335793 108.106958 2.56 0.99
2022 4 11 14 12 1.77 29.337156 108.10577 2.46 0.92
2022 4 11 14 14 57.64 29.315818 107.87736 3.51 0.54
2022 4 11 15 38 24.41 29.362201 108.03252 1.55 0.48
2022 4 11 15 40 24.52 29.276202 108.082943 2.23 0.71
2022 4 11 15 42 58.24 29.317487 107.967106 2.25 0.49
2022 4 11 15 44 37.9 29.28783 108.040462 1.01 0.49
2022 4 11 16 2 19.83 29.319084 108.199626 4.17 1.48
2022 4 11 16 7 31.56 29.387166 107.920646 5.06 0.37
2022 4 11 16 46 56.25 29.315975 107.916496 3.43 0.65
2022 4 11 17 36 51.42 29.300433 107.903874 3.37 0.94
2022 4 11 17 38 43.48 29.336772 108.115161 2.5 2.19
2022 4 11 17 41 47.2 29.358506 107.918075 7.45 0.09
2022 4 11 17 42 43.98 29.363749 107.927238 7.35 0.3
2022 4 11 17 44 51.8 29.363125 107.921053 7.06 1.56
2022 4 11 17 52 37.67 29.330332 107.95424 2.24 0.8
2022 4 11 18 14 46.21 29.266915 108.090454 5.24 -0.35
2022 4 11 18 27 40.81 29.364528 107.925448 5.86 1.39
2022 4 11 18 29 50.67 29.267181 108.091406 5.07 0.55
2022 4 11 18 32 27.2 29.375193 107.931152 9.04 0.47
2022 4 11 18 32 47.99 29.266408 108.086369 4.37 0.67
2022 4 11 18 39 4.08 29.357617 107.913273 8.49 0.51
2022 4 11 18 44 2.72 29.392306 107.940332 3.97 0.39
2022 4 11 18 44 8.24 29.390751 107.951807 3.95 0.21
2022 4 11 18 53 46.32 29.349233 108.074373 1.61 0.29
2022 4 11 19 7 40.06 29.359304 107.995793 3.34 0.51
2022 4 11 19 12 18.95 29.366148 107.92015 7.36 0.38
2022 4 11 19 15 1.22 29.360822 107.912573 4.29 0.06
2022 4 11 19 22 23.11 29.373222 107.924585 5.8 -0.07
2022 4 11 19 28 7.2 29.319027 107.951156 2.79 0.75
2022 4 11 19 37 12.76 29.363442 107.921045 7.02 1.39
2022 4 11 19 37 47.52 29.360834 107.918807 6.54 0.77
2022 4 11 19 38 0.07 29.367503 107.918099 6.47 1.16
2022 4 11 19 38 11.27 29.368231 107.92321 8.85 0.66
2022 4 11 19 43 45.74 29.402488 107.979126 1.91 0.47
2022 4 11 19 48 32.1 29.359314 107.932137 3.78 0.4
2022 4 11 20 18 29.87 29.301306 107.906152 3.13 0.1
2022 4 11 20 25 32.79 29.303003 107.909155 2.28 0.07
2022 4 11 20 48 1.83 29.281866 108.032479 2.76 0.73
2022 4 11 21 10 36.76 29.361705 107.916602 4.92 0.7
2022 4 11 21 48 17.23 29.365493 107.928312 7.12 -0.09
2022 4 11 22 5 53.42 29.321584 107.930973 4.05 0.62
2022 4 11 22 17 54.1 29.29302 107.846655 4.8 0.7
